epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,332.852,1.53983,1.4958,1.66624,0.81247,0.83871,0.85242,0.47348,1.39198,1.92081,2.04354,0.000986206,0.000986206,0.000986206
43,340.722,1.23107,1.52119,1.59035,0.81247,0.83871,0.85242,0.47348,1.39198,1.92081,2.04354,0.00099314,0.00099314,0.00099314
44,348.5,1.20563,1.27108,1.64772,0.87346,0.6683,0.81171,0.37013,1.47214,2.21464,2.27337,0.000999282,0.000999282,0.000999282
45,356.246,1.38615,1.77589,1.90733,0.87346,0.6683,0.81171,0.37013,1.47214,2.21464,2.27337,0.00100463,0.00100463,0.00100463
46,364.044,1.07614,1.16349,1.49413,0.82155,0.89127,0.88308,0.37403,1.73923,2.21411,2.64859,0.00100919,0.00100919,0.00100919
47,371.668,1.25597,1.39582,1.59562,0.82155,0.89127,0.88308,0.37403,1.73923,2.21411,2.64859,0.00101296,0.00101296,0.00101296
48,379.472,1.34122,1.76426,1.70055,0.9257,0.80394,0.88533,0.40479,1.76085,2.18492,2.58812,0.00101593,0.00101593,0.00101593
49,387.252,1.31055,1.25824,1.68776,0.9257,0.80394,0.88533,0.40479,1.76085,2.18492,2.58812,0.00101811,0.00101811,0.00101811
50,395.136,1.52949,1.44937,1.73553,0.89805,0.80645,0.8894,0.43761,1.67386,2.02069,2.39125,0.0010195,0.0010195,0.0010195
51,402.883,1.5243,1.3648,1.91306,0.89805,0.80645,0.8894,0.43761,1.67386,2.02069,2.39125,0.00101,0.00101,0.00101
52,410.71,1.53059,1.65584,1.94154,0.94573,0.77419,0.90228,0.52797,1.44541,1.77648,2.00881,0.0009902,0.0009902,0.0009902
53,418.581,1.18088,1.14911,1.51574,0.94573,0.77419,0.90228,0.52797,1.44541,1.77648,2.00881,0.0009704,0.0009704,0.0009704
54,426.474,1.36523,1.52399,1.98021,0.85512,0.80645,0.90808,0.49392,1.59175,1.82895,2.17652,0.0009506,0.0009506,0.0009506
55,434.314,1.20625,1.25836,1.65644,0.85512,0.80645,0.90808,0.49392,1.59175,1.82895,2.17652,0.0009308,0.0009308,0.0009308
56,442.424,1.16565,1.14403,1.49463,0.81628,0.87097,0.8881,0.50128,1.62829,1.79416,2.20397,0.000911,0.000911,0.000911
57,450.383,1.05264,1.12424,1.42601,0.81628,0.87097,0.8881,0.50128,1.62829,1.79416,2.20397,0.0008912,0.0008912,0.0008912
58,458.209,1.30441,1.11522,1.53618,0.90607,0.77419,0.89469,0.48739,1.55364,1.72945,2.15336,0.0008714,0.0008714,0.0008714
59,465.999,1.02142,1.09346,1.36803,0.90607,0.77419,0.89469,0.48739,1.55364,1.72945,2.15336,0.0008516,0.0008516,0.0008516
60,473.712,1.12104,1.06305,1.4626,0.92989,0.85598,0.91969,0.53328,1.35159,1.59883,1.89295,0.0008318,0.0008318,0.0008318
61,481.492,1.32954,1.24479,1.58219,0.92989,0.85598,0.91969,0.53328,1.35159,1.59883,1.89295,0.000812,0.000812,0.000812
62,489.289,0.99322,0.96958,1.32443,0.86621,0.90323,0.92433,0.54955,1.28727,1.57789,1.7721,0.0007922,0.0007922,0.0007922
63,496.977,1.25082,1.28813,1.63699,0.86621,0.90323,0.92433,0.54955,1.28727,1.57789,1.7721,0.0007724,0.0007724,0.0007724
64,504.592,0.99002,1.9299,1.62912,0.96384,0.86016,0.92441,0.51231,1.42574,1.69417,1.86966,0.0007526,0.0007526,0.0007526
65,512.31,1.22575,1.04946,1.53308,0.96384,0.86016,0.92441,0.51231,1.42574,1.69417,1.86966,0.0007328,0.0007328,0.0007328
66,520.279,1.01223,1.13223,1.46112,0.89427,0.96774,0.9103,0.41562,1.6973,1.73879,2.15753,0.000713,0.000713,0.000713
67,528.138,1.40384,1.30228,1.69762,0.89427,0.96774,0.9103,0.41562,1.6973,1.73879,2.15753,0.0006932,0.0006932,0.0006932
68,535.915,1.43385,1.32832,1.58193,0.84885,0.93548,0.88554,0.35454,1.89032,1.7932,2.54,0.0006734,0.0006734,0.0006734
69,543.55,1.36189,1.16864,1.64866,0.84885,0.93548,0.88554,0.35454,1.89032,1.7932,2.54,0.0006536,0.0006536,0.0006536
70,551.582,0.9904,0.93973,1.34441,0.90532,0.92557,0.90639,0.39976,1.84304,1.71484,2.65737,0.0006338,0.0006338,0.0006338
71,559.478,1.12131,1.04163,1.46861,0.90532,0.92557,0.90639,0.39976,1.84304,1.71484,2.65737,0.000614,0.000614,0.000614
