epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2167.7,1.26883,1.1583,1.51534,0.70438,0.47659,0.50647,0.24045,1.96791,2.08087,2.13882,0.0011882,0.0011882,0.0011882
43,2210.96,1.33042,1.22145,1.55167,0.75642,0.54363,0.58962,0.24696,2.02877,1.8696,2.20029,0.0011684,0.0011684,0.0011684
44,2248.85,1.26223,1.08912,1.472,0.76989,0.5,0.60169,0.24825,2.04257,1.74618,2.19377,0.0011486,0.0011486,0.0011486
45,2286.3,1.32724,1.08247,1.5667,0.76989,0.5,0.60169,0.24825,2.04257,1.74618,2.19377,0.0011288,0.0011288,0.0011288
46,2325.98,1.26764,1.17614,1.52899,0.76583,0.5724,0.59213,0.27064,1.96601,1.68273,2.17095,0.001109,0.001109,0.001109
47,2362.47,1.27206,1.05078,1.40921,0.6965,0.55,0.52529,0.30312,1.75997,1.7603,2.05461,0.0010892,0.0010892,0.0010892
48,2398.98,1.26993,1.14078,1.48998,0.65331,0.575,0.59304,0.32521,1.72367,1.8525,1.90574,0.0010694,0.0010694,0.0010694
49,2438.87,1.21127,1.02687,1.43916,0.65331,0.575,0.59304,0.32521,1.72367,1.8525,1.90574,0.0010496,0.0010496,0.0010496
50,2487.89,1.1277,1.02094,1.40725,0.7363,0.55,0.59641,0.2951,1.81958,1.81277,1.94094,0.0010298,0.0010298,0.0010298
51,2529.16,1.23652,1.02191,1.39935,0.76348,0.5,0.6072,0.27762,1.79459,1.68415,1.90627,0.00101,0.00101,0.00101
52,2573.05,1.26038,1.10796,1.46182,0.65203,0.55,0.59794,0.2785,1.68814,1.61459,1.84746,0.0009902,0.0009902,0.0009902
53,2619.55,1.14783,0.99878,1.38328,0.65203,0.55,0.59794,0.2785,1.68814,1.61459,1.84746,0.0009704,0.0009704,0.0009704
54,2670.39,1.26526,1.05066,1.45638,0.62014,0.61237,0.5858,0.26355,1.70558,1.63794,1.83348,0.0009506,0.0009506,0.0009506
55,2714.57,1.21854,1.06643,1.42614,0.60571,0.53785,0.53188,0.26145,1.68013,1.68973,1.83422,0.0009308,0.0009308,0.0009308
56,2759.75,1.17557,1.05821,1.38585,0.64348,0.5,0.53278,0.26371,1.62207,1.64824,1.76929,0.000911,0.000911,0.000911
57,2815.63,1.31997,1.07341,1.48775,0.64348,0.5,0.53278,0.26371,1.62207,1.64824,1.76929,0.0008912,0.0008912,0.0008912
58,2861.58,1.16004,0.99483,1.38282,0.70575,0.47983,0.53582,0.25989,1.67669,1.5858,1.79283,0.0008714,0.0008714,0.0008714
59,2902.41,1.18553,1.02452,1.42127,0.70733,0.5,0.56832,0.29998,1.65131,1.46698,1.77616,0.0008516,0.0008516,0.0008516
60,2945.33,1.21866,0.96588,1.42978,0.63137,0.59948,0.61134,0.32011,1.61575,1.42777,1.77571,0.0008318,0.0008318,0.0008318
61,2992.9,1.04474,0.85952,1.27493,0.63137,0.59948,0.61134,0.32011,1.61575,1.42777,1.77571,0.000812,0.000812,0.000812
62,3043.48,1.02781,0.84762,1.28075,0.70799,0.55,0.64778,0.32408,1.67495,1.46919,1.8348,0.0007922,0.0007922,0.0007922
63,3094.1,1.08825,0.97797,1.35414,0.70666,0.525,0.60987,0.32678,1.64781,1.52282,1.86733,0.0007724,0.0007724,0.0007724
64,3131.13,1.14679,1.00308,1.40626,0.69981,0.525,0.59876,0.33079,1.68547,1.57613,1.91478,0.0007526,0.0007526,0.0007526
65,3172.37,1.21766,1.00474,1.43569,0.69981,0.525,0.59876,0.33079,1.68547,1.57613,1.91478,0.0007328,0.0007328,0.0007328
66,3205.53,1.11638,0.98205,1.35385,0.77118,0.525,0.59872,0.30199,1.76607,1.54732,1.97393,0.000713,0.000713,0.000713
67,3239.22,1.08294,0.9071,1.31834,0.84466,0.54393,0.62438,0.28998,1.87759,1.55899,2.05311,0.0006932,0.0006932,0.0006932
68,3268.36,1.15208,0.95685,1.362,0.69926,0.58142,0.61437,0.28272,1.82451,1.59331,2.01714,0.0006734,0.0006734,0.0006734
69,3298.85,1.10952,0.96844,1.30275,0.69926,0.58142,0.61437,0.28272,1.82451,1.59331,2.01714,0.0006536,0.0006536,0.0006536
70,3331.14,1.18459,0.91526,1.37785,0.68293,0.53868,0.53406,0.28823,1.74953,1.57597,1.97128,0.0006338,0.0006338,0.0006338
71,3370.32,1.11221,0.91717,1.35543,0.68545,0.525,0.53965,0.31316,1.70306,1.54749,1.98023,0.000614,0.000614,0.000614
72,3405.51,1.15391,0.9137,1.3749,0.73534,0.5,0.56544,0.32583,1.6676,1.53375,1.90333,0.0005942,0.0005942,0.0005942
73,3437.73,1.10582,0.93477,1.38158,0.73534,0.5,0.56544,0.32583,1.6676,1.53375,1.90333,0.0005744,0.0005744,0.0005744
74,3473.86,1.139,0.93204,1.34372,0.74629,0.5,0.5737,0.3366,1.72258,1.46923,1.87876,0.0005546,0.0005546,0.0005546
75,3507,1.08667,0.83718,1.32306,0.81289,0.54324,0.65812,0.35623,1.73806,1.43183,1.89533,0.0005348,0.0005348,0.0005348
76,3541.51,1.134,0.894,1.35763,0.80914,0.55,0.64458,0.36843,1.60514,1.42119,1.83778,0.000515,0.000515,0.000515
