epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,244.723,1.3507,1.47555,1.58441,0.19007,0.375,0.13756,0.05253,2.55903,2.51424,2.8715,0.000490728,0.000490728,0.000490728
44,250.82,1.28583,1.49325,1.55834,0.19007,0.375,0.13756,0.05253,2.55903,2.51424,2.8715,0.000493898,0.000493898,0.000493898
45,256.952,1.23759,1.4719,1.55997,0.18557,0.375,0.17575,0.05785,2.53659,2.47187,2.78731,0.000496672,0.000496672,0.000496672
46,263.085,1.42013,1.78236,1.73196,0.18557,0.375,0.17575,0.05785,2.53659,2.47187,2.78731,0.00049905,0.00049905,0.00049905
47,270.199,1.41634,1.49228,1.61171,0.14962,0.375,0.16895,0.05077,2.57251,2.73488,2.88514,0.000501032,0.000501032,0.000501032
48,276.568,1.60081,1.88841,1.95142,0.14962,0.375,0.16895,0.05077,2.57251,2.73488,2.88514,0.000502618,0.000502618,0.000502618
49,283.186,1.17413,1.45899,1.44003,0.2327,0.125,0.12142,0.02922,2.56763,2.90903,3.10788,0.000503808,0.000503808,0.000503808
50,289.655,1.37129,1.44268,1.5199,0.2327,0.125,0.12142,0.02922,2.56763,2.90903,3.10788,0.000504602,0.000504602,0.000504602
51,296.221,1.25928,1.57791,1.48504,0.29812,0.125,0.09657,0.02734,2.45289,2.98935,3.07402,0.000505,0.000505,0.000505
52,302.904,1.33484,1.41852,1.47276,0.29812,0.125,0.09657,0.02734,2.45289,2.98935,3.07402,0.000505002,0.000505002,0.000505002
53,309.43,1.4004,1.47818,1.59987,0.29812,0.125,0.09657,0.02734,2.45289,2.98935,3.07402,0.000504608,0.000504608,0.000504608
54,315.854,1.72526,1.84796,2.01401,0.4559,0.125,0.17054,0.04707,2.44584,2.86609,2.94491,0.000503818,0.000503818,0.000503818
55,321.942,1.4568,1.70047,1.73078,0.4559,0.125,0.17054,0.04707,2.44584,2.86609,2.94491,0.000502632,0.000502632,0.000502632
56,328.455,1.23692,1.74569,1.54522,0.4559,0.125,0.17054,0.04707,2.44584,2.86609,2.94491,0.00050105,0.00050105,0.00050105
57,335.191,1.46834,1.55004,1.67324,0.19613,0.375,0.23774,0.06268,2.41585,2.69647,2.81132,0.000499072,0.000499072,0.000499072
58,341.728,1.35821,1.40804,1.69188,0.19613,0.375,0.23774,0.06268,2.41585,2.69647,2.81132,0.000496698,0.000496698,0.000496698
59,348.005,1.10355,1.3917,1.44572,0.19613,0.375,0.23774,0.06268,2.41585,2.69647,2.81132,0.000493928,0.000493928,0.000493928
60,354.443,1.41483,1.53061,1.62792,0.22045,0.25,0.24014,0.08715,2.3093,2.57348,2.68115,0.000490762,0.000490762,0.000490762
61,361.348,1.14849,1.23502,1.4618,0.22045,0.25,0.24014,0.08715,2.3093,2.57348,2.68115,0.0004872,0.0004872,0.0004872
62,367.559,1.29802,1.66843,1.67604,0.22045,0.25,0.24014,0.08715,2.3093,2.57348,2.68115,0.000483242,0.000483242,0.000483242
63,373.886,1.08619,1.40003,1.61221,0.31506,0.25,0.24199,0.13223,2.29964,2.378,2.72637,0.000478888,0.000478888,0.000478888
64,380.061,1.17108,1.3289,1.49739,0.31506,0.25,0.24199,0.13223,2.29964,2.378,2.72637,0.000474138,0.000474138,0.000474138
65,386.158,1.41168,1.45205,1.65542,0.31506,0.25,0.24199,0.13223,2.29964,2.378,2.72637,0.000468992,0.000468992,0.000468992
66,392.643,1.23175,1.36701,1.53335,0.35629,0.48558,0.30832,0.12289,2.33656,2.27318,2.74519,0.00046345,0.00046345,0.00046345
67,399.358,1.3178,1.41068,1.48432,0.35629,0.48558,0.30832,0.12289,2.33656,2.27318,2.74519,0.000457512,0.000457512,0.000457512
68,405.282,1.2312,1.75522,1.60145,0.35629,0.48558,0.30832,0.12289,2.33656,2.27318,2.74519,0.000451178,0.000451178,0.000451178
69,412.031,1.47589,1.49805,1.67093,0.58788,0.25,0.31634,0.15936,2.14984,2.27301,2.3888,0.000444448,0.000444448,0.000444448
70,418.509,1.2339,1.30002,1.51858,0.58788,0.25,0.31634,0.15936,2.14984,2.27301,2.3888,0.000437322,0.000437322,0.000437322
71,424.808,1.41755,1.38039,1.49271,0.58788,0.25,0.31634,0.15936,2.14984,2.27301,2.3888,0.0004298,0.0004298,0.0004298
72,431.365,1.31556,1.54585,1.59357,0.37413,0.25,0.20358,0.12013,1.93072,2.38711,2.11273,0.000421882,0.000421882,0.000421882
73,437.413,1.17192,1.31285,1.47943,0.37413,0.25,0.20358,0.12013,1.93072,2.38711,2.11273,0.000413568,0.000413568,0.000413568
74,443.822,1.23891,1.45068,1.54635,0.37413,0.25,0.20358,0.12013,1.93072,2.38711,2.11273,0.000404858,0.000404858,0.000404858
75,450.395,1.29394,1.34138,1.57423,0.23249,0.375,0.22017,0.12457,1.84921,2.57289,2.1048,0.000395752,0.000395752,0.000395752
76,457.078,1.23233,1.42589,1.51898,0.23249,0.375,0.22017,0.12457,1.84921,2.57289,2.1048,0.00038625,0.00038625,0.00038625
77,462.991,1.57893,1.38301,1.90289,0.23249,0.375,0.22017,0.12457,1.84921,2.57289,2.1048,0.000376352,0.000376352,0.000376352
78,471.785,1.10902,1.32287,1.40568,0.23193,0.375,0.20806,0.12471,1.81092,2.56867,1.99042,0.000366058,0.000366058,0.000366058
