epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.88349,1.77878,2.6162,2.0719,0.00333,1,0.08043,0.04935,0.52249,3.5504,1.16354,2e-05,2e-05,2e-05
2,13.4295,2.00146,2.72137,2.25718,0.00333,1,0.11105,0.06877,0.47406,3.56726,1.1846,5.9406e-05,5.9406e-05,5.9406e-05
3,19.457,1.72794,2.66398,2.41563,0.00333,1,0.07033,0.04945,0.47863,3.46726,1.1598,9.802e-05,9.802e-05,9.802e-05
4,25.2466,1.54212,2.54815,1.81762,0.00333,1,0.0689,0.03855,0.53477,3.48629,1.18364,0.000135842,0.000135842,0.000135842
5,30.9934,1.77168,2.47413,2.1324,0.00333,1,0.25258,0.07467,0.74863,3.48377,1.31259,0.000172872,0.000172872,0.000172872
6,36.8175,1.41323,2.21108,1.89785,0.00333,1,0.19652,0.10407,1.08288,3.63681,1.60555,0.00020911,0.00020911,0.00020911
7,42.6284,1.51892,2.3295,1.83709,0.00333,1,0.44764,0.30167,1.08261,3.5622,1.63199,0.000244556,0.000244556,0.000244556
8,48.461,1.74532,2.22977,2.00742,0.00333,1,0.46956,0.33455,1.01385,3.45374,1.62071,0.00027921,0.00027921,0.00027921
9,54.2637,1.39998,1.81658,1.91938,0.00333,1,0.55732,0.4452,1.03538,3.37245,1.62903,0.000313072,0.000313072,0.000313072
10,60.0289,1.40165,1.8266,1.90777,0.00333,1,0.67935,0.43499,1.08582,3.38295,1.69275,0.000346142,0.000346142,0.000346142
11,66.0863,1.24574,1.53157,1.55272,0.00333,1,0.57606,0.29175,1.18372,3.49017,1.67533,0.00037842,0.00037842,0.00037842
12,72.2097,1.27197,1.78556,1.71366,0.00333,1,0.20204,0.11649,1.39021,3.90744,1.79078,0.000409906,0.000409906,0.000409906
13,78.3696,1.32031,1.53872,1.59624,0.00333,1,0.14032,0.07821,1.36062,3.5774,1.65048,0.0004406,0.0004406,0.0004406
14,84.5077,1.37569,1.5988,1.67473,0.00222,0.66667,0.33878,0.06463,1.86058,5.00648,2.26003,0.000470502,0.000470502,0.000470502
15,90.5068,1.1884,1.38744,1.49658,0.00222,0.66667,0.00512,0.00222,3.03422,6.04683,3.45747,0.000499612,0.000499612,0.000499612
16,96.5912,1.30751,1.62668,1.74145,0.00333,1,0.00852,0.00229,3.34457,6.47553,3.55687,0.00052793,0.00052793,0.00052793
17,102.642,1.24718,1.30843,1.64448,0.00222,0.66667,0.04518,0.02165,2.37011,5.60333,2.68894,0.000555456,0.000555456,0.000555456
18,109.277,1.18093,1.14095,1.57515,0.03995,0.66667,0.3742,0.15803,1.71989,4.71461,2.25702,0.00058219,0.00058219,0.00058219
19,116.001,1.34722,1.63946,1.75184,0.15371,0.33333,0.41225,0.17936,2.21104,3.90857,2.69497,0.000608132,0.000608132,0.000608132
20,122.085,1.09705,1.43506,1.52336,0.62579,0.33333,0.44136,0.22885,1.73742,3.52816,2.4386,0.000633282,0.000633282,0.000633282
21,128.176,1.25561,1.33505,1.60791,0.29985,0.33333,0.41475,0.22689,1.912,3.39949,2.66091,0.00065764,0.00065764,0.00065764
22,134.274,1.64529,1.50161,1.75817,0.65002,0.33333,0.45588,0.1758,1.944,3.70326,3.17447,0.000681206,0.000681206,0.000681206
23,140.888,1.60882,1.78315,2.10252,0.16378,0.66667,0.56565,0.25387,1.90728,3.57159,2.67035,0.00070398,0.00070398,0.00070398
24,147.118,1.13898,1.46246,1.54759,0.13437,0.66667,0.22192,0.12278,1.72269,3.49887,2.17895,0.000725962,0.000725962,0.000725962
25,153.076,1.28245,1.33673,1.56168,0.57295,0.66667,0.46201,0.23876,1.53197,3.32422,1.93874,0.000747152,0.000747152,0.000747152
